Section,Category,Item,Value,Notes
=== 1. SUPABASE SETUP ===,,,,

TABLE SCHEMAS,properties,id,"uuid NOT NULL DEFAULT gen_random_uuid()",Primary key
TABLE SCHEMAS,properties,address,"text NOT NULL",
TABLE SCHEMAS,properties,city,"text NOT NULL",
TABLE SCHEMAS,properties,state,"text NOT NULL",
TABLE SCHEMAS,properties,zip,"text NOT NULL",
TABLE SCHEMAS,properties,latitude,"numeric NULL",PostGIS coordinate
TABLE SCHEMAS,properties,longitude,"numeric NULL",PostGIS coordinate
TABLE SCHEMAS,properties,geom,"geography NULL",PostGIS geometry column
TABLE SCHEMAS,properties,snap_score,"integer NULL",AI-generated score 0-100
TABLE SCHEMAS,properties,snap_insight,"text NULL",AI-generated analysis
TABLE SCHEMAS,properties,jurisdiction_id,"uuid NULL",FK to jurisdictions
TABLE SCHEMAS,properties,total_violations,"integer DEFAULT 0",Aggregate counter
TABLE SCHEMAS,properties,open_violations,"integer DEFAULT 0",Aggregate counter
TABLE SCHEMAS,properties,oldest_violation_date,"date NULL",Aggregate
TABLE SCHEMAS,properties,newest_violation_date,"date NULL",Aggregate
TABLE SCHEMAS,properties,avg_days_open,"integer DEFAULT 0",Aggregate
TABLE SCHEMAS,properties,violation_types,"text[] DEFAULT '{}'",Array of types
TABLE SCHEMAS,properties,repeat_offender,"boolean DEFAULT false",Pressure signal
TABLE SCHEMAS,properties,multi_department,"boolean DEFAULT false",Pressure signal
TABLE SCHEMAS,properties,escalated,"boolean DEFAULT false",Pressure signal
TABLE SCHEMAS,properties,distress_signals,"text[] DEFAULT '{}'",Array of signals
TABLE SCHEMAS,properties,opportunity_class,"text DEFAULT 'watch'","Values: watch, emerging, hot, critical"
TABLE SCHEMAS,properties,scope,"text DEFAULT 'city'","Values: city, county"
TABLE SCHEMAS,properties,county,"text NULL",
TABLE SCHEMAS,properties,last_enforcement_date,"timestamptz NULL",
TABLE SCHEMAS,properties,last_analyzed_at,"timestamptz NULL",
TABLE SCHEMAS,properties,photo_url,"text NULL",
TABLE SCHEMAS,properties,created_at,"timestamp DEFAULT now()",
TABLE SCHEMAS,properties,updated_at,"timestamp DEFAULT now()",

TABLE SCHEMAS,violations,id,"uuid NOT NULL DEFAULT gen_random_uuid()",Primary key
TABLE SCHEMAS,violations,property_id,"uuid NULL",FK to properties
TABLE SCHEMAS,violations,case_id,"text NULL",External case number
TABLE SCHEMAS,violations,violation_type,"text NOT NULL",Normalized type
TABLE SCHEMAS,violations,description,"text NULL",Public description
TABLE SCHEMAS,violations,raw_description,"text NULL",PRIVATE - never exported
TABLE SCHEMAS,violations,status,"text NOT NULL","Values: open, closed, pending"
TABLE SCHEMAS,violations,previous_status,"text NULL",For change tracking
TABLE SCHEMAS,violations,opened_date,"date NULL",
TABLE SCHEMAS,violations,closed_at,"date NULL",
TABLE SCHEMAS,violations,last_updated,"date NULL",
TABLE SCHEMAS,violations,days_open,"integer NULL",Calculated
TABLE SCHEMAS,violations,status_changed_at,"timestamptz NULL",
TABLE SCHEMAS,violations,first_seen_at,"timestamptz DEFAULT now()",
TABLE SCHEMAS,violations,last_seen_at,"timestamptz DEFAULT now()",
TABLE SCHEMAS,violations,created_at,"timestamp DEFAULT now()",

TABLE SCHEMAS,user_subscriptions,id,"uuid NOT NULL DEFAULT gen_random_uuid()",Primary key
TABLE SCHEMAS,user_subscriptions,user_id,"uuid NOT NULL",FK to auth.users
TABLE SCHEMAS,user_subscriptions,plan_id,"uuid NOT NULL",FK to subscription_plans
TABLE SCHEMAS,user_subscriptions,status,"text NOT NULL DEFAULT 'active'","Values: active, cancelled, past_due, unpaid"
TABLE SCHEMAS,user_subscriptions,stripe_customer_id,"text NULL",Stripe customer ID
TABLE SCHEMAS,user_subscriptions,stripe_subscription_id,"text NULL",Stripe subscription ID
TABLE SCHEMAS,user_subscriptions,current_period_start,"timestamptz NULL",Billing period start
TABLE SCHEMAS,user_subscriptions,current_period_end,"timestamptz NULL",Billing period end
TABLE SCHEMAS,user_subscriptions,cancel_at,"timestamptz NULL",Scheduled cancellation
TABLE SCHEMAS,user_subscriptions,cancelled_at,"timestamptz NULL",Actual cancellation
TABLE SCHEMAS,user_subscriptions,created_at,"timestamptz DEFAULT now()",
TABLE SCHEMAS,user_subscriptions,updated_at,"timestamptz DEFAULT now()",

TABLE SCHEMAS,subscription_usage,id,"uuid NOT NULL DEFAULT gen_random_uuid()",Primary key
TABLE SCHEMAS,subscription_usage,user_id,"uuid NOT NULL",FK to auth.users
TABLE SCHEMAS,subscription_usage,period_start,"date NOT NULL",Billing period start
TABLE SCHEMAS,subscription_usage,period_end,"date NOT NULL",Billing period end
TABLE SCHEMAS,subscription_usage,exports_count,"integer DEFAULT 0",Usage counter
TABLE SCHEMAS,subscription_usage,api_calls_count,"integer DEFAULT 0",Usage counter
TABLE SCHEMAS,subscription_usage,skip_traces_count,"integer DEFAULT 0",Usage counter
TABLE SCHEMAS,subscription_usage,created_at,"timestamptz DEFAULT now()",
TABLE SCHEMAS,subscription_usage,updated_at,"timestamptz DEFAULT now()",

TABLE SCHEMAS,upload_jobs,id,"uuid NOT NULL DEFAULT gen_random_uuid()",Primary key
TABLE SCHEMAS,upload_jobs,user_id,"uuid NOT NULL",FK to auth.users
TABLE SCHEMAS,upload_jobs,storage_path,"text NOT NULL",Supabase storage path
TABLE SCHEMAS,upload_jobs,filename,"text NOT NULL",Original filename
TABLE SCHEMAS,upload_jobs,file_size,"integer NOT NULL",Bytes
TABLE SCHEMAS,upload_jobs,status,"text DEFAULT 'QUEUED'","Values: QUEUED, PROCESSING, COMPLETED, FAILED"
TABLE SCHEMAS,upload_jobs,total_rows,"integer NULL",
TABLE SCHEMAS,upload_jobs,processed_rows,"integer DEFAULT 0",
TABLE SCHEMAS,upload_jobs,properties_created,"integer DEFAULT 0",
TABLE SCHEMAS,upload_jobs,properties_matched,"integer DEFAULT 0",Existing properties updated
TABLE SCHEMAS,upload_jobs,violations_created,"integer DEFAULT 0",
TABLE SCHEMAS,upload_jobs,bad_addresses,"integer DEFAULT 0",
TABLE SCHEMAS,upload_jobs,bad_address_samples,"jsonb DEFAULT '[]'",
TABLE SCHEMAS,upload_jobs,warnings,"jsonb DEFAULT '[]'",
TABLE SCHEMAS,upload_jobs,error_message,"text NULL",
TABLE SCHEMAS,upload_jobs,jurisdiction_id,"uuid NULL",FK to jurisdictions
TABLE SCHEMAS,upload_jobs,city,"text NULL",
TABLE SCHEMAS,upload_jobs,county,"text NULL",
TABLE SCHEMAS,upload_jobs,state,"text NULL",
TABLE SCHEMAS,upload_jobs,scope,"text DEFAULT 'city'",
TABLE SCHEMAS,upload_jobs,started_at,"timestamptz NULL",
TABLE SCHEMAS,upload_jobs,finished_at,"timestamptz NULL",
TABLE SCHEMAS,upload_jobs,created_at,"timestamptz DEFAULT now()",
TABLE SCHEMAS,upload_jobs,updated_at,"timestamptz DEFAULT now()",

INDEXES,properties,properties_pkey,"UNIQUE btree (id)",Primary key
INDEXES,properties,idx_properties_unique_address,"UNIQUE btree (lower(trim(address)), lower(trim(city)), lower(trim(state)), lower(trim(zip)))",CRITICAL - deduplication
INDEXES,properties,idx_properties_snap_score,"btree (snap_score)",Performance
INDEXES,properties,idx_properties_snap_score_desc,"btree (snap_score DESC NULLS LAST)",Sorting
INDEXES,properties,idx_properties_city,"btree (city)",Filter performance
INDEXES,properties,idx_properties_city_lower,"btree (lower(city))",Case-insensitive
INDEXES,properties,idx_properties_state_lower,"btree (lower(state))",Case-insensitive
