City,County,State,Population Count,Status,Submission Method,Contact Value,Notes,Method,Date Submitted,Status,Notes,
Autauga County,Autauga,Alabama,"58,805",,PDF Form,https://www.autaugaco.org/Sites/Autauga_County/Documents/Main/SKMBT-C36017071908210.pdf,County Public Records Request Form,PDF Form,1/27/2026,Sent,PDF + Email,
Prattville,Autauga;Elmore,Alabama,"37,781",,Portal,https://prattvilleal.gov/departments/city-clerk/public-records-request-form/,Official public records request form,Manual,1/27/2026,Sent,Custom Portal,
Daphne,Baldwin,Alabama,"27,462",,Email,cityclerk@daphneal.com,City clerk email,Manual,1/27/2026,Sent,Email,
Baldwin County,Baldwin County,Alabama,"231,767",,Portal,https://baldwincountyal.nextrequest.com/,County public records portal,Manual,1/27/2026,Sent,Request 26-25,
Barbour County,Barbour,Alabama,"25,223",,Email,paige.smith@alacourt.gov,Circuit Clerk official contact,Manual,1/27/2026,Sent,Email,
Colbert County,Colbert,Alabama,"57,227",,Email,commission@colbertco.org,Public records request page with form,Manual,1/27/2026,Sent,Email,
Dale County,Dale,Alabama,"37,765",Sent,Email,admin@dalecountyal.gov,County Email,Manual,1/27/2026,Sent,Email,
Dothan,Houston;Dale;Henry,Alabama,"26,659",Sent,PDF Form,https://www.dothan.org/DocumentCenter/View/7615/Request-for-Public-Records?bidId=,wshiver@dothan.org,PDF Form,1/27/2026,Sent,PDF + Email,
Homewood,Jefferson,Alabama,"71,650",Sent,Email,https://homewoodil.justfoia.com/publicportal/home/newrequest,City clerk email,Manual,1/27/2026,Sent,PR-2026-31 and your security key is 8DBF2B38.,
Birmingham,Jefferson;Shelby,Alabama,"107,202",,PDF Form,https://s3.us-east-2.amazonaws.com/assets.birminghamal.gov/s3fs-public/2024-12/Public-Records-Request-Form-2024.pdf,marie.sutton@birminghamal.gov,Manual,1/27/2026,Sent,PDF + Email,
Hoover,Jefferson;Shelby,Alabama,"52,579",,Portal,https://hooveralabama.gov/1299/Public-Records-Request,Official public records request form,Manual,1/27/2026,Sent,FormCenter,
