County,City,State,Population,Status,Submission Method,Contact Value,Notes,Method,Date,Status,Notes,
Autauga County,Autauga County,Alabama,"63,520",,email,heather@autaugaprobate.com,Autauga County Probate Office email,Manual,1/27/2026,Sent,heather@autaugaprobate.com,
Prattville,Autauga;Elmore,Alabama,"40,139",,email,cityclerk@prattvilleal.gov,City Clerk office,Manual,1/27/2026,Sent,cityclerk@prattvilleal.gov,
Bay MInette,Baldwin,Alabama,"9,463",,pdf_form,https://cityofbayminetteal.gov/docs/default-source/city-clerk/public-records-request-november-2022.pdf,Send to rdiedtrich@ci.bay-minette.al.us,Manual,1/27/2026,Sent,PDF and emailed it to rdiedtrich@ci.bay-minette.al.us,
Daphne,Baldwin,Alabama,"26,780",,portal,https://daphneal.justfoia.com/publicportal/home/newrequest,JustFOIA portal,Manual,1/27/2026,Sent,security key is E381E7F1 Your request reference number is 2026-15,
Elberta,Baldwin,Alabama,"2,009",,portal,https://baldwincountyal.nextrequest.com/,Routed to Baldwin County,Manual,1/27/2026,Sent,Request #26-22,
Fairhope,Baldwin,Alabama,"22,120",,portal,https://www.fairhopeal.gov/government/public-records,Public records page,Manual,1/27/2026,Sent,Submitted(CustomPortal),
Foley,Baldwin,Alabama,"28,043",,portal,https://cityoffoley.org/239/Records-Request,Records Request page,Manual,1/27/2026,Sent,Submitted(CustomPortal),
Gulf Shores,Baldwin,Alabama,"11,832",Sent,portal,https://www.gulfshoresal.gov/FormCenter/City-Clerk-5/Public-Records-Request-Form-33,Online form,Manual,1/27/2026,Already Sent,,
Loxley,Baldwin,Alabama,"1,922",Sent,email,a.morgan@cityofloxley.com,City of Loxley records,Manual,1/27/2026,Already Sent,,
Orange Beach,Baldwin,Alabama,"6,251",,portal,https://www.orangebeachal.gov/FormCenter/City-Clerk-10/Public-Records-Request-Form-173,Online form,Manual,1/27/2026,Sent,"Portal not working properly, but got the Email of Code Inspector; bchildress@orangebeachal.gov",
Point Clear,Baldwin,Alabama,"1,772",,portal,https://baldwincountyal.nextrequest.com/,Unincorporated,Manual,1/27/2026,Sent,Request #26-23,
Robertsdale,Baldwin,Alabama,"6,985",,pdf_form,https://robertsdale.org/DocumentCenter/View/4282/Public-Records-Request-Form,PDF form,Manual,1/27/2026,Sent,"Portal not working properly, but got the Email of Code Enforcement Officer; markfincher@robertsdale.org",
Spanish Fort,Baldwin,Alabama,"8,900",Sent,portal,https://www.cityofspanishfort.com/publicrecordsrequest,Online request,Manual,1/27/2026,Sent,,
Baldwin County,Baldwin County,Alabama,"276,610",,portal,https://baldwincountyal.nextrequest.com/,County portal,Manual,1/27/2026,Sent,Request #26-24,
Clayton,Barbour,Alabama,"1,850",,email,cityclerk@claytonalabama.org,City Clerk,Manual,1/27/2026,Sent,cityclerk@claytonalabama.org,
Clio,Barbour,Alabama,"1,394",,email,barbourprobate@gmail.com,Routed to county,Manual,1/27/2026,Sent,barbourprobate@gmail.com,
Eufaula,Barbour,Alabama,"13,093",,portal,https://www.eufaulaalabama.com/FormCenter,FormCenter,Manual,1/27/2026,Sent,Submitted(FormCenter),
Brent,Bibb,Alabama,"4,507",Fulfilled,email,cityofbrent@bellsouth.net,City contact,Manual,1/27/2026,Already Sent,,
Centreville,Bibb,Alabama,"2,099",,email,Tracy@cityofcentreville.com,City Clerk,Manual,1/27/2026,Sent,Tracy@cityofcentreville.com,
West Blocton,Bibb,Alabama,"1,840",,email,townclerk@townofwestblocton.org,Town Clerk,Manual,1/27/2026,Sent,townclerk@townofwestblocton.org,
Woodstock,Bibb,Alabama,258,,email,townclerk@townofwoodstockal.com,Town Clerk,Manual,1/27/2026,Sent,townclerk@townofwoodstockal.com,
Bibb County,Bibb County,Alabama,"22,700",,email,bibbprobate@bibbal.com,County probate,Manual,1/27/2026,Sent,bibbprobate@bibbal.com,
Oneonta,Blount,Alabama,"6,841",Sent,pdf_form,https://www.cityofoneonta.us/_files/ugd/e128fb_01130442e69e4c9c9aad8e5b52dffc6f.pdf,Send to acole@cityofoneonta.us,Manual,1/27/2026,Already Sent,,
Blount County,Blount County,Alabama,"58,000",,email,info@blountcountyal.gov,County commission,Manual,1/27/2026,Sent,info@blountcountyal.gov,
Union Springs,Bullock,Alabama,"2,839",,email,terronda@unionspringsal.gov,City Clerk,Manual,1/27/2026,Sent,terronda@unionspringsal.gov,
Bullock County,Bullock County,Alabama,"10,107",,email,jtatumjet@gmail.com,County probate,Manual,1/27/2026,Sent,jtatumjet@gmail.com,
Georgiana,Butler,Alabama,"2,267",Sent,email,geoclerkbeverly@yahoo.com,Town clerk,Manual,1/27/2026,Already Sent,,
Greenville,Butler,Alabama,"8,927",,portal,https://www.greenvilleal.gov/154/City-Clerks-Office,City clerk page,Manual,1/27/2026,Sent,Email of Building official; john@cityofgville.com,
McKenzie,Butler,Alabama,698,,email,clerk@townofmckenzie.org,Town clerk,Manual,1/27/2026,Sent,clerk@townofmckenzie.org,
Butler County,Butler,Alabama,"19,046",,email,butlercc@butlercoal.us,County Commission email,Manual,1/27/2026,Sent,butlercc@butlercoal.us,
Anniston,Calhoun,Alabama,"21,127",Sent,pdf_form,https://www.annistonal.gov/wp-content/uploads/2021/09/PRR-Form_9.23.21.pdf,Send to City Clerk sbass@annistonal.gov,Manual,1/27/2026,Sent,sbass@annistonal.gov,
Hobson City,Calhoun,Alabama,759,,email,jasonsturdivant13@gmail.com,Fallback to Choctaw County Probate Judge,Manual,1/27/2026,Sent,jasonsturdivant13@gmail.com,
Ohatchee,Calhoun,Alabama,"1,157",,portal,https://www.jacksonville-al.org/city-clerk,Town Clerk directory,Manual,1/27/2026,Sent,Submitted(CustomPortal),
Weaver,Calhoun,Alabama,"3,339",,email,https://www.ohatchee.com/directory.aspx?did=4,Town Clerk email,Manual,1/27/2026,Sent,cityclerk@weaveral.gov,
Piedmont,Calhoun;Cherokee,Alabama,4787,,email,cityclerk@weaveral.gov,General city email,Manual,1/27/2026,Sent,info@piedmontcity.org,
Oxford,Calhoun;Talladega;Cleburne,Alabama,22069,,email,info@piedmontcity.org,City Clerk email,Manual,1/27/2026,Sent,alan.atkinson@oxfordal.gov,
La Fayette,Chambers,Alabama,2684,,portal,alan.atkinson@oxfordal.gov,Use site contact,Manual,1/27/2026,Sent,ldavidson@cityoflafayetteal.com,
Lanett,Chambers,Alabama,6970,,portal,https://www.cityoflafayetteal.com/departments/city-clerks-office,Use site contact,Manual,1/27/2026,Sent,commission.info@chamberscountyal.gov,
Valley,Chambers,Alabama,10529,,portal,https://www.cityoflanett.net/citygovernment/cityclerk.aspx,Contact form,Manual,1/27/2026,Sent,aroberts@cityofvalley.com,
Waverly,Chambers,Alabama,400,,portal,https://cityofvalley.com/contact/,Contact form,Manual,1/27/2026,,No Portal or any email linked to the city,
Chambers County,Chambers,Alabama,34530,,portal,https://waverlyalabama.com/contact/,County contact,Manual,1/27/2026,Sent,macy.whorton@chamberscountyal.gov,
Cedar Bluff,Cherokee,Alabama,1845,,email,https://chamberscountyal.gov/,Town Clerk,Manual,1/27/2026,Sent,jburt@cedarbluff-al.org,
Centre,Cherokee,Alabama,3587,,portal,jburt@cedarbluff-al.org,City Clerk page,Manual,1/27/2026,Sent,Portal not working and any portal/email linked to the city.,
Gaylesville,Cherokee,Alabama,170,,portal,https://centreal.gov/city-clerk/,Chamber listing,Manual,1/27/2026,Sent,Portal Maintenance,
Leesburg,Cherokee,Alabama,937,Sent,email,https://members.cherokee-chamber.org/list/member/town-of-gaylesville-325,Town email,Manual,1/27/2026,Already Sent,,
Sand Rock,Cherokee,Alabama,591,,email,leesburg@tds.net,Town Clerk,Manual,1/27/2026,Sent,clerk@sandrock-al.org,
Cherokee County,Cherokee,Alabama,25224,,email,clerk@sandrock-al.org,Probate Office,Manual,1/27/2026,Sent,probateoffice@cherokeecounty-al.gov,
Clanton,Chilton,Alabama,8691,,portal,probateoffice@cherokeecounty-al.gov,City Clerk page,Manual,1/27/2026,Sent,sellison@clantonal.gov,
